Participant,Training,Condition,Random #,ConditionID,SpringIndex,Spring #1,Spring #2,Switch X&Y?,Final X,Final Y,Final X Value,Final Y Value
3,,Hapkit + Graphics,0.968944203,1,15,S,Q,No,S,Q,35,55
3,*,Hapkit Only,0.798998226,0,0,Q,W,Yes,W,Q,75,55
3,,Hapkit Only,0.00146832,0,1,U,S,Yes,S,U,35,15
3,,Hapkit Only,0.076162042,0,2,S,Q,No,S,Q,35,55
3,,Hapkit Only,0.169531809,0,3,Q,W,No,Q,W,55,75
3,,Hapkit Only,0.192493057,0,4,S,Q,Yes,Q,S,55,35
3,,Hapkit Only,0.199746241,0,5,U,S,No,U,S,15,35
3,,Hapkit Only,0.359413808,0,6,Q,W,Yes,W,Q,75,55
3,,Hapkit Only,0.367456657,0,7,Q,W,No,Q,W,55,75
3,,Hapkit Only,0.493495125,0,8,S,Q,Yes,Q,S,55,35
3,,Hapkit Only,0.564114411,0,9,S,Q,Yes,Q,S,55,35
3,,Hapkit Only,0.638830289,0,10,U,S,No,U,S,15,35
3,,Hapkit Only,0.641716584,0,11,S,Q,No,S,Q,35,55
3,,Hapkit Only,0.669797152,0,12,Q,W,No,Q,W,55,75
3,,Hapkit Only,0.801087421,0,13,Q,W,Yes,W,Q,75,55
3,,Hapkit Only,0.876691057,0,14,U,S,No,U,S,15,35
3,,Hapkit Only,0.89404184,0,15,U,S,No,U,S,15,35
4,,COUNTERBALANCE,0.182926403,1,,,,No,,,,
4,*,Hapkit + Graphics,0.054627738,1,0,U,S,No,U,S,15,35
4,,Hapkit + Graphics,0.05975407,1,1,U,S,Yes,S,U,35,15
4,,Hapkit + Graphics,0.155961536,1,2,Q,W,No,Q,W,55,75
4,,Hapkit + Graphics,0.213256019,1,3,Q,W,Yes,W,Q,75,55
4,,Hapkit + Graphics,0.216208099,1,4,S,Q,No,S,Q,35,55
4,,Hapkit + Graphics,0.370766881,1,5,U,S,No,U,S,15,35
4,,Hapkit + Graphics,0.4061366,1,6,S,Q,No,S,Q,35,55
4,,Hapkit + Graphics,0.449842885,1,7,S,Q,No,S,Q,35,55
4,,Hapkit + Graphics,0.575955876,1,8,S,Q,Yes,Q,S,55,35
4,,Hapkit + Graphics,0.580174804,1,9,Q,W,No,Q,W,55,75
4,,Hapkit + Graphics,0.631857387,1,10,Q,W,No,Q,W,55,75
4,,Hapkit + Graphics,0.678082149,1,11,U,S,No,U,S,15,35
4,,Hapkit + Graphics,0.764734155,1,12,Q,W,No,Q,W,55,75
4,,Hapkit + Graphics,0.927779096,1,13,U,S,Yes,S,U,35,15
4,,Hapkit + Graphics,0.931061807,1,14,S,Q,No,S,Q,35,55
4,,Hapkit + Graphics,0.993747367,1,15,U,S,Yes,S,U,35,15
4,*,Hapkit Only,0.419681174,0,0,S,Q,No,S,Q,35,55
4,,Hapkit Only,0.075154714,0,1,S,Q,Yes,Q,S,55,35
4,,Hapkit Only,0.091867165,0,2,Q,W,Yes,W,Q,75,55
4,,Hapkit Only,0.113631785,0,3,Q,W,No,Q,W,55,75
4,,Hapkit Only,0.114753494,0,4,S,Q,No,S,Q,35,55
4,,Hapkit Only,0.261817386,0,5,U,S,Yes,S,U,35,15
4,,Hapkit Only,0.292566403,0,6,Q,W,Yes,W,Q,75,55
4,,Hapkit Only,0.3067557,0,7,Q,W,Yes,W,Q,75,55
4,,Hapkit Only,0.323109777,0,8,U,S,No,U,S,15,35
4,,Hapkit Only,0.449428299,0,9,S,Q,No,S,Q,35,55
4,,Hapkit Only,0.457492575,0,10,S,Q,No,S,Q,35,55
4,,Hapkit Only,0.495907287,0,11,Q,W,No,Q,W,55,75
4,,Hapkit Only,0.620343806,0,12,U,S,No,U,S,15,35
4,,Hapkit Only,0.772148906,0,13,S,Q,Yes,Q,S,55,35
4,,Hapkit Only,0.816034127,0,14,U,S,Yes,S,U,35,15
4,,Hapkit Only,0.872116452,0,15,U,S,Yes,S,U,35,15
5,,COUNTERBALANCE,0.562072328,1,,,,No,,,,
5,*,Hapkit + Graphics,0.902512667,1,0,W,Q,No,W,Q,75,55
5,,Hapkit + Graphics,0.067175786,1,1,U,S,Yes,S,U,35,15
5,,Hapkit + Graphics,0.130270465,1,2,S,Q,No,S,Q,35,55
5,,Hapkit + Graphics,0.195075939,1,3,Q,W,Yes,W,Q,75,55
5,,Hapkit + Graphics,0.209539314,1,4,Q,W,No,Q,W,55,75
5,,Hapkit + Graphics,0.253536461,1,5,Q,W,No,Q,W,55,75
5,,Hapkit + Graphics,0.270799538,1,6,U,S,No,U,S,15,35
5,,Hapkit + Graphics,0.308561063,1,7,Q,W,No,Q,W,55,75
5,,Hapkit + Graphics,0.528832954,1,8,Q,W,Yes,W,Q,75,55
5,,Hapkit + Graphics,0.556554029,1,9,U,S,Yes,S,U,35,15
5,,Hapkit + Graphics,0.66362548,1,10,U,S,Yes,S,U,35,15
5,,Hapkit + Graphics,0.701886036,1,11,S,Q,No,S,Q,35,55
5,,Hapkit + Graphics,0.792240981,1,12,S,Q,Yes,Q,S,55,35
5,,Hapkit + Graphics,0.847102061,1,13,S,Q,Yes,Q,S,55,35
5,,Hapkit + Graphics,0.966124909,1,14,U,S,No,U,S,15,35
5,,Hapkit + Graphics,0.997114113,1,15,S,Q,Yes,Q,S,55,35
5,*,Hapkit Only,0.273451333,0,0,W,Q,Yes,Q,W,55,75
5,,Hapkit Only,0.062659376,0,1,Q,W,No,Q,W,55,75
5,,Hapkit Only,0.080688683,0,2,U,S,Yes,S,U,35,15
5,,Hapkit Only,0.14144553,0,3,U,S,No,U,S,15,35
5,,Hapkit Only,0.178365579,0,4,S,Q,Yes,Q,S,55,35
5,,Hapkit Only,0.218619796,0,5,Q,W,No,Q,W,55,75
5,,Hapkit Only,0.254146043,0,6,S,Q,No,S,Q,35,55
5,,Hapkit Only,0.315392912,0,7,U,S,Yes,S,U,35,15
5,,Hapkit Only,0.426060146,0,8,Q,W,Yes,W,Q,75,55
5,,Hapkit Only,0.57925673,0,9,Q,W,No,Q,W,55,75
5,,Hapkit Only,0.601311065,0,10,U,S,No,U,S,15,35
5,,Hapkit Only,0.726423049,0,11,S,Q,Yes,Q,S,55,35
5,,Hapkit Only,0.804456717,0,12,U,S,No,U,S,15,35
5,,Hapkit Only,0.832853762,0,13,S,Q,Yes,Q,S,55,35
5,,Hapkit Only,0.872628668,0,14,Q,W,Yes,W,Q,75,55
5,,Hapkit Only,0.879198755,0,15,S,Q,No,S,Q,35,55
6,,COUNTERBALANCE,0.247519525,1,,,,Yes,,,,
6,*,Hapkit + Graphics,0.18448125,1,0,W,Q,No,W,Q,75,55
6,,Hapkit + Graphics,0.059600036,1,1,U,S,No,S,U,35,15
6,,Hapkit + Graphics,0.084167738,1,2,U,S,No,U,S,15,35
6,,Hapkit + Graphics,0.090295017,1,3,Q,W,No,W,Q,75,55
6,,Hapkit + Graphics,0.266315808,1,4,S,Q,Yes,Q,S,55,35
6,,Hapkit + Graphics,0.320042482,1,5,S,Q,Yes,Q,S,55,35
6,,Hapkit + Graphics,0.446017544,1,6,S,Q,No,Q,S,55,35
6,,Hapkit + Graphics,0.482446283,1,7,Q,W,Yes,W,Q,75,55
6,,Hapkit + Graphics,0.626811389,1,8,U,S,Yes,S,U,35,15
6,,Hapkit + Graphics,0.632779536,1,9,S,Q,No,Q,S,55,35
6,,Hapkit + Graphics,0.837579726,1,10,Q,W,No,W,Q,75,55
6,,Hapkit + Graphics,0.87530383,1,11,Q,W,Yes,Q,W,55,75
6,,Hapkit + Graphics,0.898248974,1,12,U,S,Yes,S,U,35,15
6,,Hapkit + Graphics,0.906787492,1,13,U,S,No,S,U,35,15
6,,Hapkit + Graphics,0.948372259,1,14,S,Q,No,Q,S,55,35
6,,Hapkit + Graphics,0.9928127,1,15,Q,W,No,Q,W,55,75
6,*,Hapkit Only,0.724438336,0,0,S,U,No,S,U,35,15
6,,Hapkit Only,0.019487728,0,1,U,S,Yes,U,S,15,35
6,,Hapkit Only,0.041698433,0,2,U,S,No,S,U,35,15
6,,Hapkit Only,0.059057927,0,3,U,S,Yes,U,S,15,35
6,,Hapkit Only,0.122232488,0,4,U,S,Yes,S,U,35,15
6,,Hapkit Only,0.227953567,0,5,S,Q,Yes,Q,S,55,35
6,,Hapkit Only,0.323941792,0,6,U,S,Yes,U,S,15,35
6,,Hapkit Only,0.420644116,0,7,Q,W,No,Q,W,55,75
6,,Hapkit Only,0.429534015,0,8,Q,W,Yes,Q,W,55,75
6,,Hapkit Only,0.43443112,0,9,S,Q,Yes,Q,S,55,35
6,,Hapkit Only,0.463762406,0,10,S,Q,No,S,Q,35,55
6,,Hapkit Only,0.49687026,0,11,Q,W,No,W,Q,75,55
6,,Hapkit Only,0.534253321,0,12,Q,W,No,Q,W,55,75
6,,Hapkit Only,0.694946294,0,13,S,Q,Yes,S,Q,35,55
6,,Hapkit Only,0.796163334,0,14,S,Q,Yes,S,Q,35,55
6,,Hapkit Only,0.81527399,0,15,Q,W,Yes,W,Q,75,55
7,,COUNTERBALANCE,0.907175486,1,,,,Yes,,,,
7,*,Hapkit + Graphics,0.905518885,1,0,W,Q,Yes,Q,W,55,75
7,,Hapkit + Graphics,0.032467526,1,1,Q,W,No,Q,W,55,75
7,,Hapkit + Graphics,0.120892106,1,2,S,Q,Yes,Q,S,55,35
7,,Hapkit + Graphics,0.121455925,1,3,S,Q,Yes,Q,S,55,35
7,,Hapkit + Graphics,0.131785035,1,4,U,S,No,S,U,35,15
7,,Hapkit + Graphics,0.170582422,1,5,Q,W,No,Q,W,55,75
7,,Hapkit + Graphics,0.177553508,1,6,U,S,Yes,S,U,35,15
7,,Hapkit + Graphics,0.239050738,1,7,U,S,No,U,S,15,35
7,,Hapkit + Graphics,0.307914618,1,8,S,Q,Yes,Q,S,55,35
7,,Hapkit + Graphics,0.415551931,1,9,Q,W,Yes,W,Q,75,55
7,,Hapkit + Graphics,0.506634991,1,10,U,S,Yes,S,U,35,15
7,,Hapkit + Graphics,0.518550991,1,11,S,Q,No,Q,S,55,35
7,,Hapkit + Graphics,0.557172778,1,12,Q,W,No,W,Q,75,55
7,,Hapkit + Graphics,0.560182707,1,13,Q,W,No,W,Q,75,55
7,,Hapkit + Graphics,0.650235726,1,14,S,Q,Yes,Q,S,55,35
7,,Hapkit + Graphics,0.912504513,1,15,U,S,No,S,U,35,15
7,*,Hapkit Only,0.53276014,0,0,Q,W,Yes,W,Q,75,55
7,,Hapkit Only,0.052157607,0,1,Q,W,No,Q,W,55,75
7,,Hapkit Only,0.095476273,0,2,U,S,No,S,U,35,15
7,,Hapkit Only,0.1195716,0,3,Q,W,No,W,Q,75,55
7,,Hapkit Only,0.122986926,0,4,U,S,Yes,U,S,15,35
7,,Hapkit Only,0.139471895,0,5,Q,W,No,W,Q,75,55
7,,Hapkit Only,0.321094454,0,6,S,Q,No,S,Q,35,55
7,,Hapkit Only,0.351104769,0,7,S,Q,Yes,Q,S,55,35
7,,Hapkit Only,0.458589827,0,8,S,Q,No,S,Q,35,55
7,,Hapkit Only,0.460487661,0,9,Q,W,No,Q,W,55,75
7,,Hapkit Only,0.584863523,0,10,U,S,Yes,U,S,15,35
7,,Hapkit Only,0.770609167,0,11,U,S,No,S,U,35,15
7,,Hapkit Only,0.779540016,0,12,S,Q,Yes,S,Q,35,55
7,,Hapkit Only,0.895391307,0,13,S,Q,Yes,Q,S,55,35
7,,Hapkit Only,0.905076294,0,14,U,S,Yes,U,S,15,35
7,,Hapkit Only,0.98777166,0,15,Q,W,Yes,Q,W,55,75
8,,COUNTERBALANCE,0.80260097,1,,,,Yes,,,,
8,*,Hapkit + Graphics,0.473212628,1,0,Q,W,No,Q,W,55,75
8,,Hapkit + Graphics,0.091310762,1,1,Q,W,No,Q,W,55,75
8,,Hapkit + Graphics,0.286084131,1,2,S,Q,Yes,Q,S,55,35
8,,Hapkit + Graphics,0.373973447,1,3,Q,W,Yes,Q,W,55,75
8,,Hapkit + Graphics,0.39571546,1,4,S,Q,Yes,Q,S,55,35
8,,Hapkit + Graphics,0.463205553,1,5,Q,W,No,W,Q,75,55
8,,Hapkit + Graphics,0.49797095,1,6,Q,W,No,W,Q,75,55
8,,Hapkit + Graphics,0.597758619,1,7,S,Q,No,Q,S,55,35
8,,Hapkit + Graphics,0.600696702,1,8,U,S,Yes,S,U,35,15
8,,Hapkit + Graphics,0.60658659,1,9,U,S,Yes,S,U,35,15
8,,Hapkit + Graphics,0.626033365,1,10,S,Q,No,Q,S,55,35
8,,Hapkit + Graphics,0.757960807,1,11,U,S,No,U,S,15,35
8,,Hapkit + Graphics,0.823484613,1,12,S,Q,No,Q,S,55,35
8,,Hapkit + Graphics,0.88728379,1,13,U,S,Yes,S,U,35,15
8,,Hapkit + Graphics,0.902156292,1,14,U,S,No,S,U,35,15
8,,Hapkit + Graphics,0.916395968,1,15,Q,W,Yes,W,Q,75,55
8,*,Hapkit Only,0.751952924,0,0,Q,W,No,Q,W,55,75
8,,Hapkit Only,0.045470624,0,1,U,S,Yes,U,S,15,35
8,,Hapkit Only,0.157531889,0,2,U,S,No,U,S,15,35
8,,Hapkit Only,0.364086321,0,3,U,S,Yes,S,U,35,15
8,,Hapkit Only,0.405459293,0,4,U,S,Yes,U,S,15,35
8,,Hapkit Only,0.415145209,0,5,Q,W,No,W,Q,75,55
8,,Hapkit Only,0.519631201,0,6,Q,W,No,Q,W,55,75
8,,Hapkit Only,0.520840521,0,7,S,Q,Yes,S,Q,35,55
8,,Hapkit Only,0.671711516,0,8,Q,W,No,Q,W,55,75
8,,Hapkit Only,0.706428908,0,9,S,Q,Yes,S,Q,35,55
